Customer_ID,Customer_Name,Gender,Age,City,Phone,Loyalty
C0001,Henry Kunda,Male,23,Mathura,3108415494,Gold
C0002,Ekbal Cheema,Female,54,Mathura,0159490873,Silver
C0003,Isaiah Gera,Male,51,Etawah,7094287170,Gold
C0004,Elijah Nayar,Male,57,Etawah,5863366836,Gold
C0005,Chameli Dhar,Male,48,Etawah,1624665848,Gold
C0006,Hredhaan Mohanty,Male,20,Agra,9343342805,Gold
C0007,Jeet Trivedi,Female,26,Mathura,6117883264,Silver
C0008,Janya Gade,Male,46,Firozabad,0616763712,Bronze
C0009,Indira Dey,Female,20,Firozabad,4039510811,None
C0010,Anamika Zacharia,Male,45,Mathura,4729055866,Gold
C0011,Yash Memon,Male,33,Mathura,8803704289,Bronze
C0012,Frederick Acharya,Female,64,Agra,5753821507,None
C0013,Maya Jaggi,Male,54,Agra,5140975640,Bronze
C0014,Rayaan Das,Female,41,Mathura,8441717466,Silver
C0015,Dev Kala,Female,36,Etawah,1757299859,Gold
C0016,Shivansh Dutt,Female,39,Firozabad,9043764432,Silver
C0017,Logan Krish,Male,32,Agra,7665040177,Silver
C0018,Amaira Sani,Female,35,Etawah,1786281681,None
C0019,Ekavir Seth,Male,47,Firozabad,3741194459,Gold
C0020,Kiaan Vora,Female,38,Etawah,0634567086,Silver
C0021,Arin Ratta,Male,34,Mathura,8065902833,Silver
C0022,Nirja Prakash,Male,62,Mathura,8804103471,Silver
C0023,Dhruv Ratti,Male,45,Etawah,0521110386,Gold
C0024,Ekapad Lal,Male,27,Etawah,5231459687,Bronze
C0025,Kritika Kohli,Female,61,Agra,7257800532,None
C0026,Gunbir Taneja,Female,28,Firozabad,3335147798,None
C0027,Darika Sidhu,Male,62,Agra,4106088419,Silver
C0028,Bhavani Patla,Female,27,Mathura,4406089279,Gold
C0029,Jeremiah Raman,Male,64,Etawah,3474095780,Gold
C0030,Lila Grewal,Male,46,Etawah,0467606304,Bronze
C0031,Max Narang,Male,45,Agra,8961183030,Silver
C0032,Dayita Jaggi,Female,19,Agra,2131412511,None
C0033,Watika Kibe,Female,25,Firozabad,3552546889,None
C0034,Wyatt Chatterjee,Female,43,Agra,7940135238,None
C0035,Wyatt Kari,Female,23,Mathura,0944950938,Bronze
C0036,Viraj Patil,Female,18,Firozabad,0454870980,Bronze
C0037,Lakshmi Dhaliwal,Male,46,Etawah,2664567975,None
C0038,Gauri Doctor,Male,33,Etawah,9629991285,None
C0039,Arjun Lala,Male,42,Agra,3426430827,None
C0040,Devansh Lad,Male,41,Mathura,8594908635,Silver
C0041,Rudra Salvi,Male,59,Etawah,9722895545,Silver
C0042,Yug Bains,Female,33,Firozabad,5117611101,Gold
C0043,Unni Prabhakar,Male,36,Mathura,2986892743,None
C0044,Dhriti Gulati,Female,50,Mathura,6990022629,Gold
C0045,Irya Borra,Female,18,Etawah,6349722420,Silver
C0046,Leela Uppal,Male,61,Firozabad,2782539771,Silver
C0047,Naveen Gera,Male,21,Etawah,9644133512,None
C0048,Anmol Warrior,Female,33,Agra,4478033042,Silver
C0049,Zehaan Subramaniam,Male,57,Agra,3134257145,Silver
C0050,Lajita Ahuja,Male,21,Mathura,5411008359,Bronze
C0051,Vincent Naidu,Male,22,Mathura,5308872230,Gold
C0052,Charles Reddy,Female,49,Etawah,0869431436,Gold
C0053,Krisha Tata,Male,36,Etawah,4538432427,None
C0054,Dev Merchant,Female,56,Agra,9636563582,Bronze
C0055,Chaitanya Bhagat,Male,59,Agra,6125672917,None
C0056,Samaksh Gill,Male,47,Etawah,9013211855,Silver
C0057,Devansh Ben,Female,65,Firozabad,5046366149,None
C0058,Balhaar Karan,Male,65,Etawah,4678556149,None
C0059,Ubika More,Male,24,Firozabad,7643425012,Gold
C0060,Ekalinga Chopra,Male,63,Agra,4263470163,Bronze
C0061,Xalak Wagle,Female,20,Mathura,7627514975,Bronze
C0062,Indrajit Dalal,Female,58,Etawah,8345768816,Bronze
C0063,Idika Buch,Female,38,Mathura,4382110327,None
C0064,Lopa Chhabra,Male,61,Firozabad,1561169833,Silver
C0065,Bhavani Nagarajan,Female,33,Firozabad,5137953704,Bronze
C0066,Lucky Khurana,Female,35,Etawah,0978421241,None
C0067,Yamini Gandhi,Female,54,Etawah,8284771668,None
C0068,Falak Andra,Male,49,Agra,4019498540,None
C0069,Sarthak Buch,Male,47,Agra,1031446342,Gold
C0070,Quincy Ramachandran,Male,32,Firozabad,0415594492,Gold
C0071,Barkha Narasimhan,Female,58,Mathura,5522717111,Bronze
C0072,Aryan Kulkarni,Male,36,Mathura,3387921656,None
C0073,Mohini Randhawa,Male,22,Firozabad,8196144075,None
C0074,Falak Mody,Male,45,Mathura,8886201135,Silver
C0075,Karan Goyal,Male,57,Etawah,1786811091,Gold
C0076,Nachiket Kant,Male,58,Mathura,3499745838,Bronze
C0077,Girik Kalita,Male,19,Firozabad,8162051048,Gold
C0078,Yauvani Wason,Female,41,Mathura,7658812734,Gold
C0079,Samar Naidu,Male,22,Mathura,4030419920,Bronze
C0080,Brinda Yogi,Male,51,Agra,3510285925,Bronze
C0081,Madhavi Grover,Male,28,Etawah,4526780106,Gold
C0082,Yashasvi Dara,Female,25,Mathura,8293673544,Silver
C0083,Ekapad Shukla,Male,20,Agra,8138884445,Silver
C0084,Ekapad Swaminathan,Male,57,Agra,6932437512,None
C0085,Ucchal Divan,Female,21,Mathura,1994405030,Bronze
C0086,Manan Sami,Male,18,Agra,1683545735,None
C0087,Jalsa Raman,Male,57,Firozabad,4273902454,Silver
C0088,Dalaja Thaman,Female,32,Agra,3421118871,None
C0089,Agastya Comar,Female,26,Etawah,1688119899,None
C0090,Lopa Arya,Female,64,Firozabad,7564400689,Bronze
C0091,Faqid Krishna,Male,64,Firozabad,1232848995,None
C0092,Ganga Nadig,Female,58,Firozabad,4807227938,Gold
C0093,Aayush Agarwal,Male,41,Firozabad,0206002745,Bronze
C0094,Charles Muni,Male,44,Mathura,0588733401,Bronze
C0095,Tejas Bala,Male,56,Mathura,4598026363,Bronze
C0096,Rehaan Joshi,Male,48,Mathura,1960160094,Bronze
