Customer_ID,Customer_Name,Gender,Age,City,Phone,Loyalty
C0001,Unni Nigam,Female,49,Firozabad,4093003268,Silver
C0002,Hardik Pall,Female,47,Etawah,4671568829,Gold
C0003,Ishaan Vyas,Female,36,Agra,1992587265,Gold
C0004,Aarnav Dave,Male,20,Agra,3545178455,Bronze
C0005,Chaitanya Mann,Male,20,Mathura,0561167527,Silver
C0006,Imaran Deep,Female,18,Firozabad,9625388914,None
C0007,Kevin Krishnamurthy,Male,62,Etawah,9272899691,Gold
C0008,Suhani Wagle,Female,64,Firozabad,2047609329,Silver
C0009,Dhriti Ahluwalia,Female,25,Mathura,3586304814,None
C0010,Panini Natarajan,Female,35,Etawah,7220991586,None
C0011,Girik Devan,Female,45,Mathura,1539215102,None
C0012,Quincy Buch,Female,30,Etawah,1571698697,Gold
C0013,Ekansh Prakash,Male,30,Agra,7056747728,None
C0014,Girik Wali,Male,63,Mathura,8906990736,Gold
C0015,David Halder,Male,24,Mathura,3447103083,Bronze
C0016,Frado Ganguly,Male,21,Firozabad,7213059268,Gold
C0017,Nimrat Sha,Male,33,Mathura,0466039262,Bronze
C0018,Wakeeta Bains,Male,45,Firozabad,5936066152,Bronze
C0019,Ekta Palla,Female,44,Etawah,1328964672,Bronze
C0020,Aarav Krishnan,Female,49,Firozabad,6750059020,Silver
C0021,Wyatt Chaudhuri,Male,23,Mathura,4465887210,None
C0022,Tarak Panchal,Female,50,Firozabad,4010142827,Gold
C0023,Anay Bawa,Female,22,Agra,9112134308,None
C0024,Maanas Shere,Female,63,Agra,7756517525,Bronze
C0025,Advaith Solanki,Female,53,Mathura,7660366313,Silver
C0026,Triveni Sanghvi,Male,24,Mathura,8000926841,Bronze
C0027,Kamya Talwar,Male,60,Mathura,9428232621,Silver
C0028,Brijesh Ramesh,Male,32,Agra,0008522525,Silver
C0029,Arya Konda,Male,59,Agra,1995521536,None
C0030,Yoshita Panchal,Male,19,Etawah,7496602130,Gold
C0031,Pallavi Nayar,Female,64,Etawah,3383592018,Bronze
C0032,Anthony Vyas,Female,48,Mathura,1836337393,Gold
C0033,Andrew Kashyap,Male,19,Etawah,9099935856,Bronze
C0034,Chaitanya Venkatesh,Male,46,Agra,9509216695,Silver
C0035,Frado Wagle,Male,26,Etawah,6935606185,Silver
C0036,Chakrika Lalla,Male,25,Agra,1843086530,Bronze
C0037,Oscar Kala,Male,21,Firozabad,4230866571,Gold
C0038,Alexander Tak,Female,28,Mathura,7405466608,Gold
C0039,Saksham Talwar,Female,40,Firozabad,8794477518,Gold
C0040,Madhavi Dani,Male,18,Etawah,0547832422,Bronze
C0041,Pallavi Khalsa,Male,48,Mathura,0283853137,Silver
C0042,Irya Singh,Male,53,Mathura,5738393043,None
C0043,Aashi Pant,Female,49,Agra,2859073230,Gold
C0044,Idika Chandran,Male,37,Firozabad,8841429654,Bronze
C0045,Reva Sachar,Male,20,Etawah,5819580032,None
C0046,Chavvi Rattan,Male,29,Agra,5645596276,Silver
C0047,Tanay Majumdar,Female,25,Mathura,9320569143,None
C0048,Raghav Kapadia,Female,32,Agra,5188915216,Silver
C0049,Gaurav Verma,Male,54,Mathura,0664757419,Bronze
C0050,Nitesh Toor,Female,20,Mathura,8181160767,None
C0051,Indrajit Nath,Male,31,Agra,8688774531,Bronze
C0052,Arjun Palla,Female,54,Agra,7083347914,Bronze
C0053,Forum Bhalla,Female,55,Mathura,5784785840,Bronze
C0054,Ayaan Mutti,Female,33,Firozabad,3427921585,Gold
C0055,Nirja Doctor,Female,46,Mathura,5391418800,Bronze
C0056,Kritika Morar,Female,55,Mathura,9013095907,Silver
C0057,Dhruv Khosla,Male,34,Agra,6809846442,Silver
C0058,Neha Bir,Male,20,Firozabad,2884790013,Silver
C0059,Gunbir Modi,Female,21,Mathura,0248919903,Gold
C0060,Jeevika Badal,Male,41,Mathura,5681751609,Silver
C0061,Ikbal Shukla,Female,35,Firozabad,1468595242,Gold
C0062,Hemani Mangat,Male,46,Firozabad,4841628107,None
C0063,Isha Dhingra,Female,29,Etawah,4300720703,Bronze
C0064,Samar Master,Female,32,Mathura,4035711014,Gold
C0065,Harsh Chokshi,Female,43,Agra,7891341901,None
C0066,Nachiket Kata,Male,31,Agra,9087870882,Gold
C0067,Ekaja Madan,Female,52,Etawah,9869440957,None
C0068,Aarna Ghosh,Female,64,Firozabad,2899623055,Gold
C0069,Oliver Agrawal,Female,27,Firozabad,6010773262,None
C0070,Pranit Doshi,Male,64,Mathura,0791794627,Silver
C0071,Hemang Sarma,Female,50,Firozabad,6455807874,Silver
C0072,Hemang Raval,Female,53,Mathura,9612355702,Bronze
C0073,Wishi Sane,Male,33,Etawah,3893453421,Bronze
C0074,Chakrika Apte,Female,19,Mathura,5931273715,Silver
C0075,Dipta Sem,Female,23,Etawah,9875293532,Bronze
C0076,Sanya Dash,Male,35,Agra,7417465449,Bronze
C0077,Wridesh Toor,Female,20,Firozabad,8123802690,Gold
C0078,Jhalak Sawhney,Male,29,Mathura,7367398681,Gold
C0079,Luke Mishra,Female,33,Mathura,0928124788,Bronze
C0080,Inaya Lata,Male,35,Agra,6234685759,Bronze
C0081,Kalpit Nayak,Female,56,Etawah,0933530928,None
C0082,Ayaan Parmar,Male,20,Etawah,6091598143,Silver
C0083,Onkar Ahuja,Male,32,Mathura,4662445014,Bronze
C0084,Riya Choudhury,Female,37,Etawah,2153224664,None
C0085,Barkha Chana,Female,52,Mathura,2855943126,None
C0086,Harsh Bail,Female,44,Etawah,2384354122,None
C0087,Vaishnavi Ratti,Female,29,Firozabad,9990704841,Silver
C0088,Yoshita Gaba,Male,44,Firozabad,9037168042,Bronze
C0089,Gopal Issac,Male,37,Firozabad,6163843019,Gold
C0090,Bachittar Vora,Female,37,Etawah,4699662308,Bronze
C0091,Bakhshi Sachdev,Male,29,Etawah,6060011733,None
C0092,Zaitra Chowdhury,Male,20,Mathura,8137117815,Silver
C0093,Janaki Hegde,Male,50,Etawah,5851308253,Silver
C0094,Yutika Chaudhry,Female,35,Etawah,6904648998,None
C0095,Charan Tara,Female,39,Mathura,6530436200,Silver
C0096,Gautam Sanghvi,Female,37,Agra,8057962313,None
C0097,Sara Ganesh,Female,31,Firozabad,0820848892,None
C0098,Lavanya Som,Female,35,Mathura,5649958696,Gold
C0099,Raagini Prashad,Female,29,Etawah,2727313095,Silver
C0100,Ansh Bhatti,Female,26,Etawah,9420265550,Bronze
C0101,Naksh Arora,Female,36,Mathura,4849443622,None
C0102,Pushti Bassi,Female,26,Mathura,5107221596,Bronze
C0103,Wahab Kaur,Male,64,Mathura,7856606516,None
C0104,Kashvi Arora,Male,29,Agra,4625683593,Gold
C0105,Kiaan Jaggi,Male,40,Etawah,8851683618,Gold
C0106,Umang Chad,Female,20,Firozabad,6546086556,Gold
C0107,Bhavya Bumb,Male,32,Etawah,5995457742,None
C0108,Ekansh Deshmukh,Female,64,Firozabad,9569487329,None
C0109,Rushil Raj,Male,60,Agra,5261299624,None
C0110,Wahab Chander,Male,23,Etawah,6099839024,Silver
C0111,Harish Chanda,Male,25,Firozabad,3301734144,None
C0112,Bakhshi Shetty,Female,25,Etawah,4302529030,None
C0113,Dakshesh Prabhakar,Male,59,Mathura,1796717132,Silver
C0114,Dipta Sachdeva,Female,22,Mathura,8406480331,Bronze
C0115,Baghyawati Kata,Male,46,Agra,2593466053,Bronze
C0116,Shaurya Gade,Male,52,Etawah,4522716508,Bronze
C0117,Qushi Aggarwal,Male,31,Agra,9671802339,None
C0118,Arin Sahota,Female,22,Agra,2329013881,None
C0119,Jalsa Tandon,Male,63,Etawah,3260784447,Bronze
C0120,Anirudh Dayal,Male,43,Firozabad,2379821774,None
C0121,Yochana Sunder,Male,50,Firozabad,5732462115,Silver
C0122,Aarna Kala,Female,28,Mathura,5785940502,Silver
C0123,Warjas Kapoor,Male,60,Etawah,3037198872,Silver
C0124,Geetika Ratti,Male,49,Agra,9923139743,Gold
C0125,Parth Trivedi,Female,45,Agra,3144863607,None
C0126,Manya Sharma,Female,25,Etawah,7203767652,Gold
C0127,Xavier Ramachandran,Male,42,Firozabad,1499274295,None
C0128,Ishanvi Seshadri,Male,51,Agra,0830184537,None
C0129,Sarthak Gera,Female,42,Etawah,8934827102,Gold
C0130,Kiaan Roy,Female,34,Agra,6026120387,Silver
C0131,Xavier Bera,Female,43,Agra,9639624241,Silver
C0132,Rachit Bava,Male,30,Agra,7266372814,None
C0133,Kamala Naik,Male,61,Agra,8690605632,None
C0134,Jagrati Bhagat,Male,55,Agra,1835508813,Silver
C0135,Tejas Dalal,Female,24,Mathura,9774946724,Silver
C0136,Aadi Dyal,Female,46,Mathura,5638198816,None
C0137,Lakshit Lata,Female,62,Mathura,5452264414,Gold
C0138,Max Misra,Male,60,Mathura,0223045727,Gold
C0139,Forum Sanghvi,Female,37,Firozabad,6172562468,Silver
C0140,Darsh Bala,Male,40,Mathura,3574003401,Gold
C0141,Tristan Salvi,Female,48,Mathura,6442843170,None
C0142,Onveer Morar,Female,31,Firozabad,8095059896,None
C0143,Chatresh Dayal,Female,23,Firozabad,4680110985,None
C0144,Maanav Barad,Male,48,Firozabad,6683858828,None
C0145,Rehaan Nori,Female,33,Mathura,1307334143,Bronze
C0146,Gagan Kapadia,Male,56,Mathura,5214076158,Gold
C0147,Chandani Mander,Male,47,Etawah,6535801924,Silver
C0148,Aachal Shetty,Male,33,Firozabad,4170956431,None
C0149,Rachit Verma,Male,35,Mathura,3834921060,None
C0150,Bhavani Nayar,Female,46,Etawah,4914740237,None
C0151,Rayaan Bali,Female,22,Firozabad,7151924835,Bronze
C0152,Amara Borra,Male,47,Agra,0888425798,Silver
C0153,Anthony Kadakia,Male,20,Mathura,7597247952,Gold
C0154,Zaid Seth,Female,24,Agra,2685203086,Silver
C0155,Mekhala Deshmukh,Female,59,Etawah,4455769899,Bronze
C0156,Nathaniel Ravi,Female,23,Firozabad,1928749424,None
C0157,Maanas Sankar,Female,20,Agra,1971788165,Gold
C0158,Reva Buch,Male,22,Firozabad,6772948134,Silver
C0159,Vedika Dhar,Male,65,Mathura,7968355949,Gold
C0160,Chasmum Comar,Female,56,Etawah,4661156363,Silver
C0161,Eesha Bhalla,Female,61,Agra,7371254758,Silver
C0162,Indira Dugar,Female,58,Agra,0407535604,None
C0163,Banjeet Yohannan,Male,34,Etawah,4169837003,Bronze
C0164,Shravya Borah,Female,63,Etawah,2921382249,Silver
C0165,Raagini Sachar,Female,30,Agra,7578583142,Bronze
C0166,Kala Chatterjee,Male,22,Agra,4348744925,Gold
C0167,Shivani Zacharia,Female,39,Agra,7780144224,None
C0168,Indrajit Saini,Male,61,Agra,1695202674,Bronze
C0169,Isha Raj,Male,18,Agra,7722159074,Gold
C0170,Nilima Savant,Female,55,Etawah,7651216656,Gold
C0171,Vasatika Handa,Female,28,Etawah,9126277685,None
C0172,Gauri Sanghvi,Male,31,Firozabad,8991749420,None
C0173,Robert Chauhan,Male,25,Mathura,5396636246,None
C0174,Eta Master,Female,56,Firozabad,8770622009,None
C0175,Vedika Dani,Female,36,Mathura,8454661103,Gold
C0176,Anita Wagle,Male,65,Mathura,3098055709,Gold
C0177,Ayush Chaudhuri,Female,45,Firozabad,2230907826,None
C0178,Gagan Nagar,Female,33,Mathura,4450850661,Silver
C0179,Dev Sangha,Male,52,Agra,8291313554,None
C0180,Yatan Kumar,Male,25,Agra,3409939578,Bronze
C0181,Ishanvi Shukla,Male,64,Firozabad,5247421660,Gold
C0182,Dayamai Agrawal,Male,19,Mathura,4830959454,Bronze
C0183,Tanmayi Dutta,Male,28,Etawah,3035607567,Silver
C0184,Ekavir Sharaf,Male,56,Etawah,3558627199,Gold
C0185,Amrita Hayer,Male,65,Firozabad,5056643079,Bronze
C0186,Advaith Kari,Male,30,Mathura,2896015906,Gold
C0187,Prisha Jha,Male,41,Mathura,1970215760,Bronze
C0188,Anya Bhakta,Female,32,Mathura,3496515914,Gold
C0189,Nachiket Kade,Male,53,Etawah,4172912229,Gold
C0190,Naveen Varughese,Female,37,Mathura,0294140976,Silver
C0191,Vinaya Rout,Male,18,Firozabad,0841229539,Gold
C0192,Girindra Sibal,Male,40,Firozabad,2688575132,Gold
C0193,Janani Mangat,Male,23,Mathura,7524374539,None
C0194,Indrajit Lala,Male,19,Agra,0473514808,Gold
C0195,Nisha Ramaswamy,Male,29,Agra,3135781420,Gold
C0196,Aachal Dhar,Female,44,Etawah,5193461476,None
C0197,Teerth Sane,Female,60,Mathura,8223982486,Bronze
C0198,Girindra Jain,Male,23,Mathura,2662909731,Bronze
C0199,Kashish Bava,Female,52,Mathura,8842532112,Silver
C0200,Amol Purohit,Female,56,Etawah,1294088068,Bronze
C0201,Prisha Kata,Male,55,Mathura,1150875885,Bronze
C0202,Waida Rege,Female,52,Firozabad,4578260089,Silver
C0203,Zashil Sama,Female,63,Agra,3607333103,Gold
C0204,Dhruv Bandi,Male,38,Agra,0980004505,Bronze
C0205,Alka Parekh,Female,36,Etawah,8882698618,Bronze
C0206,Vritti Uppal,Male,24,Mathura,4211908307,None
C0207,Aahana Majumdar,Female,64,Agra,8847940484,Bronze
C0208,Nitara Narula,Female,61,Etawah,6594261191,Silver
C0209,Anita Mall,Male,37,Etawah,0840164364,Bronze
C0210,Zaid Sarma,Female,57,Mathura,3174402951,Gold
C0211,Varsha Pandey,Male,59,Mathura,8653256321,Gold
C0212,Advika Mander,Female,25,Mathura,9106577352,None
C0213,Lavanya Rau,Male,63,Firozabad,3982029537,None
C0214,William Sood,Male,32,Mathura,9707801432,Silver
C0215,Ekantika Shah,Female,32,Mathura,7699667292,Silver
C0216,Ucchal Narain,Female,20,Agra,5531355209,Silver
C0217,Inaya Sastry,Male,24,Etawah,0278794751,None
C0218,Noah Ghosh,Female,29,Agra,0700944590,Silver
C0219,Ekantika Chhabra,Male,39,Firozabad,3064927553,Gold
C0220,Caleb Hans,Female,60,Etawah,3375025699,Silver
C0221,Elijah Sekhon,Female,23,Firozabad,4072220093,Silver
C0222,Abhiram Krishna,Female,55,Mathura,4249947204,Silver
C0223,Jagvi Kapadia,Male,56,Mathura,2618721842,Bronze
C0224,Dipta Korpal,Female,22,Etawah,1666011189,Silver
C0225,Faqid Rajagopalan,Male,49,Firozabad,1411830319,Silver
C0226,Dalaja Nair,Male,41,Agra,0549675627,Gold
C0227,Kabir Wadhwa,Male,23,Etawah,7411966626,Gold
C0228,Jai Nazareth,Female,18,Firozabad,5627191484,Bronze
C0229,Brinda Ratta,Male,41,Etawah,5542042072,Silver
C0230,Zayan Hora,Female,34,Firozabad,0295861736,Gold
C0231,Farhan Salvi,Male,35,Etawah,0904378793,Silver
C0232,Janaki Bora,Female,27,Etawah,6085392569,Silver
C0233,Robert Hora,Male,51,Mathura,3462672008,Silver
C0234,Dayita Dubey,Female,50,Firozabad,9066892795,Gold
C0235,Benjamin Mallick,Male,56,Mathura,4290186720,None
C0236,Oviya Subramanian,Male,59,Etawah,8517236630,Bronze
C0237,Nathan Handa,Male,20,Mathura,8840788698,Gold
C0238,Ira Dar,Male,33,Etawah,5583838086,Bronze
C0239,Bhavna Varughese,Female,45,Etawah,7654794134,Silver
C0240,Gavin Bhatnagar,Male,54,Etawah,8960996200,Silver
C0241,Fitan Singhal,Male,37,Etawah,5489040649,Bronze
C0242,Dipta Master,Female,58,Etawah,9844969926,Silver
C0243,Teerth Handa,Male,39,Etawah,5121265611,None
C0244,Mitesh Naidu,Female,65,Etawah,8262405687,Gold
C0245,Xavier Arora,Female,40,Firozabad,2552058253,Bronze
C0246,Neelima Kapoor,Female,28,Etawah,4779162372,None
